Country,AllCase,NewCase,AllDeath,NewDeath,AllRecovered,Continent,Reliability*
UK,311641,,46526,,N/A,Europe,0
USA,5268907,17461,166813,621,2719430,North America,0
Uganda,1313,16,9,,1138,Africa,1
Ukraine,83115,1158,1951,29,44934,Europe,1
Uruguay,1364,,37,,1146,South America,1
Uzbekistan,31747,443,204,4,23704,Asia,1
Vatican City,12,,,,12,Europe,0
Venezuela,26800,,229,,16930,South America,1
Vietnam,863,16,16,1,399,Asia,1
Western Sahara,10,,1,,8,Africa,1
Yemen,1832,,518,,915,Asia,1
Zambia,8275,65,241,,7004,Africa,1
Zimbabwe,4748,,104,,1524,Africa,1
World,20377556,136490,741599,3387,13072193,,0
